Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005385,KR7005381009,현대차우,KOSPI,,101400,1,500,0.5,101200,101800,100300,8861,896916200,2445070266600,24113119,STK
081660,KR7081660003,휠라홀딩스,KOSPI,,40050,3,0,0.0,40300,40300,39800,14790,592440750,2433126491100,60752222,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,46650,2,-850,-1.79,48050,48050,45950,211994,9983309400,2411949894900,51703106,KSQ
000990,KR7000990002,DB하이텍,KOSPI,,53000,2,-1200,-2.21,54200,54200,52900,133798,7140667600,2353125164000,44398588,STK
393890,KR7393890009,더블유씨피,KOSDAQ,기술성장기업부,69800,1,1100,1.6,69300,71400,69300,44995,3163844100,2352016956400,33696518,KSQ
036460,KR7036460004,한국가스공사,KOSPI,,25250,2,-650,-2.51,25550,25550,25000,105786,2674928700,2330903250000,92313000,STK
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,152800,2,-2100,-1.36,153400,154600,151000,17557,2681447600,2329034136000,15242370,KSQ
001040,KR7001040005,CJ,KOSPI,,75600,2,-900,-1.18,76500,77500,75600,28919,2212354800,2205781048800,29176998,STK
139480,KR7139480008,이마트,KOSPI,,79000,2,-800,-1.0,79900,80600,79000,28091,2236643800,2202189701000,27875819,STK
030000,KR7030000004,제일기획,KOSPI,,19130,2,-60,-0.31,19130,19170,19020,45740,871757500,2200738634250,115041225,STK
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,33850,1,150,0.45,33750,35200,33750,238314,8245138300,2192691362700,64776702,KSQ
214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,203000,0,0,0.0,0,0,0,0,0,2180829000000,10743000,KSQ
138930,KR7138930003,BNK금융지주,KOSPI,,6610,3,0,0.0,6610,6640,6580,96076,634638720,2154431976060,325935246,STK
023530,KR7023530009,롯데쇼핑,KOSPI,,75800,1,1600,2.16,74800,76300,74600,32762,2480420300,2144287629000,28288755,STK
006740,KR7006740005,영풍제지,KOSPI,,46050,1,50,0.11,43300,46200,43150,1813589,81139610300,2140502915400,46482148,STK
012750,KR7012750006,에스원,KOSPI,,55800,1,500,0.9,55600,56400,55200,9326,521608100,2120354132400,37999178,STK
004170,KR7004170007,신세계,KOSPI,,214500,1,8500,4.13,207500,215000,206500,55531,11774899000,2111791324500,9845181,STK
042670,KR7042670000,HD현대인프라코어,KOSPI,,10530,2,-170,-1.59,10770,10800,10520,525240,5593018910,2101824360090,199603453,STK
088350,KR7088350004,한화생명,KOSPI,,2385,2,-15,-0.63,2415,2415,2385,465962,1118185420,2071444050000,868530000,STK
014680,KR7014680003,한솔케미칼,KOSPI,,182100,2,-900,-0.49,182900,184300,178300,20319,3693666600,2064139009500,11335195,STK
204320,KR7204320006,HL만도,KOSPI,,43750,2,-300,-0.68,44250,44300,43500,65927,2889368600,2054374000000,46957120,STK
000880,KR7000880005,한화,KOSPI,,26700,2,-2600,-8.87,28000,28050,26300,727660,19573392850,2001398224500,74958735,STK
298050,KR7298050006,효성첨단소재,KOSPI,,444000,2,-10000,-2.2,450500,451000,444000,5961,2660884000,1989096912000,4479948,STK
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,160100,2,-8600,-5.1,165000,165000,159700,226279,36470809100,1982198740400,12381004,KSQ
357780,KR7357780006,솔브레인,KOSDAQ,우량기업부,254000,2,-2000,-0.78,252000,256000,252000,2565,650233500,1975755764000,7778566,KSQ
047040,KR7047040001,대우건설,KOSPI,,4675,1,15,0.32,4665,4760,4650,846986,3988032925,1943035832650,415622638,STK
007660,KR7007660004,이수페타시스,KOSPI,,30300,2,-1800,-5.61,31200,31450,30200,1422240,43550347650,1916366495700,63246419,STK
006040,KR7006040000,동원산업,KOSPI,,37800,2,-600,-1.56,38400,38550,37800,4883,185572200,1889344737000,49982665,STK
000120,KR7000120006,CJ대한통운,KOSPI,,82500,2,-500,-0.6,83100,83300,81600,12164,1004881100,1882018380000,22812344,STK
002380,KR7002380004,KCC,KOSPI,,209500,2,-6000,-2.78,214500,215000,209000,11634,2451038500,1861715674500,8886471,STK
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,150000,2,-5200,-3.35,151200,154700,148700,47469,7163221000,1847932500000,12319550,KSQ
026960,KR7026960005,동서,KOSPI,,18310,2,-110,-0.6,18420,18490,18300,9293,170866880,1825507000000,99700000,STK
005290,KR7005290002,동진쎄미켐,KOSDAQ,우량기업부,35450,2,-800,-2.21,36000,36000,35000,151551,5388565750,1822643812300,51414494,KSQ
298040,KR7298040007,효성중공업,KOSPI,,191500,1,4700,2.52,184800,191800,181800,17977,3383123200,1785650942000,9324548,STK
000150,KR7000150003,두산,KOSPI,,106200,2,-700,-0.65,106200,107500,104500,40472,4296548400,1754831277000,16523835,STK
175330,KR7175330000,JB금융지주,KOSPI,,8670,2,-70,-0.8,8740,8750,8670,44628,388608780,1707841690980,196982894,STK
336260,KR7336260005,두산퓨얼셀,KOSPI,,25950,2,-350,-1.33,26500,26550,25950,67046,1759191400,1699562189700,65493726,STK
017800,KR7017800004,현대엘리베이,KOSPI,,43350,2,-2000,-4.41,45350,45400,43350,81360,3605449150,1694654889750,39092385,STK
010060,KR7010060002,OCI홀딩스,KOSPI,,103100,2,-3200,-3.01,106100,106100,102800,22741,2350166900,1692143390200,16412642,STK
079550,KR7079550000,LIG넥스원,KOSPI,,76700,2,-1400,-1.79,78800,78800,76300,22444,1737420700,1687400000000,22000000,STK
278280,KR7278280003,천보,KOSDAQ GLOBAL,우량기업부,168000,2,-900,-0.53,168900,170000,166600,7680,1295775700,1680000000000,10000000,KSQ
121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,140700,1,200,0.14,140500,145200,139800,71981,10263227600,1655160187800,11763754,KSQ
001440,KR7001440007,대한전선,KOSPI,,13270,2,-230,-1.7,13840,13840,13250,436884,5897941770,1651415671000,124447300,STK
034230,KR7034230003,파라다이스,KOSDAQ,중견기업부,17960,1,480,2.75,17800,18550,17800,4222999,76822594430,1646443290440,91672789,KSQ
086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,225500,1,500,0.22,226500,231500,223000,24769,5623500500,1645804534000,7298468,KSQ
011210,KR7011210002,현대위아,KOSPI,,59800,2,-200,-0.33,60200,60300,59300,30590,1828256300,1626265963400,27195083,STK
005850,KR7005850003,에스엘,KOSPI,,35000,2,-150,-0.43,35650,35750,34700,58531,2056046650,1625698200000,46448520,STK
253450,KR7253450001,스튜디오드래곤,KOSDAQ,우량기업부,53800,1,800,1.51,53400,54100,52700,29474,1573536800,1617147192400,30058498,KSQ
095340,KR7095340006,ISC,KOSDAQ,우량기업부,92000,2,-4000,-4.17,93100,94100,89500,139167,12693921900,1600751332000,17399471,KSQ
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,33200,1,2500,8.14,30500,34800,30250,4209577,139253015250,1595358836400,48052977,KSQ
192820,KR7192820009,코스맥스,KOSPI,,140500,1,7400,5.56,137100,144300,137000,272008,38203777100,1594606014500,11349509,STK
137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,69900,2,-1400,-1.96,70700,71700,69700,67882,4786953600,1589609740200,22741198,KSQ
005420,KR7005420005,코스모화학,KOSPI,,45350,2,-1100,-2.37,46000,46200,45300,123416,5644700450,1587623139800,35008228,STK
003620,KR7003620002,KG모빌리티,KOSPI,,8490,2,-180,-2.08,8780,8790,8380,287643,2469081120,1587256643760,186956024,STK
069960,KR7069960003,현대백화점,KOSPI,,67800,1,1200,1.8,66700,68500,66600,84613,5714113100,1586685499800,23402441,STK
004000,KR7004000006,롯데정밀화학,KOSPI,,61100,2,-700,-1.13,62000,62000,61100,9600,589506200,1576380000000,25800000,STK
237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,82900,1,300,0.36,83000,83300,81300,34280,2825971100,1559247447500,18808775,KSQ
383310,KR7383310000,에코프로에이치엔,KOSDAQ,중견기업부,101500,2,-2400,-2.31,101200,104600,100900,391773,40070026400,1553450598000,15304932,KSQ
365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,129400,2,-1000,-0.77,130500,131200,129300,17522,2277871500,1553210456800,12003172,KSQ
145720,KR7145720009,덴티움,KOSPI,,140000,2,-1400,-0.99,141300,142300,139300,12660,1777805700,1549636200000,11068830,STK
137310,KR7137310009,에스디바이오센서,KOSPI,,12270,2,-290,-2.31,12430,12600,12130,426927,5264164710,1527030371310,124452353,STK
007310,KR7007310006,오뚜기,KOSPI,,381000,1,1500,0.4,384500,395000,380000,10335,4005896500,1526983230000,4007830,STK
240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,31000,1,200,0.65,30800,31200,30450,131184,4055148850,1521600931000,49083901,KSQ
108320,KR7108320003,LX세미콘,KOSPI,,93500,2,-1100,-1.16,93800,94200,93000,16642,1556945300,1520712050000,16264300,STK
051600,KR7051600005,한전KPS,KOSPI,,33700,2,-250,-0.74,33950,34050,33450,24377,822722550,1516500000000,45000000,STK
001740,KR7001740000,SK네트웍스,KOSPI,,6370,2,-120,-1.85,6510,6540,6360,497579,3207630030,1501907548050,235778265,STK
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,145800,2,-3200,-2.15,142900,153900,142800,163490,24023399800,1501238885400,10296563,KSQ
122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,80300,2,-1400,-1.71,80500,81200,77900,247485,19632996600,1499742944700,18676749,KSQ
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,63900,2,-1100,-1.69,65800,66600,63300,144241,9306768800,1473968136600,23066794,KSQ
120110,KR7120110002,코오롱인더,KOSPI,,53400,2,-1300,-2.38,54800,55300,53000,110230,5973646700,1469519459400,27519091,STK
267270,KR7267270007,HD현대건설기계,KOSPI,,74400,2,-500,-0.67,75300,76100,74200,21749,1635573300,1465738999200,19700793,STK
372170,KR7372170001,윤성에프앤씨,KOSDAQ,기술성장기업부,183600,2,-8100,-4.23,190500,190500,183200,34071,6314561900,1464953212800,7979048,KSQ
006110,KR7006110001,삼아알미늄,KOSPI,,98200,2,-3800,-3.73,98900,100800,98000,35319,3495888900,1444710151200,14711916,STK
248070,KR7248070005,솔루엠,KOSPI,,28750,2,-250,-0.86,29000,29400,28650,170722,4959132250,1437659591250,50005551,STK
298020,KR7298020009,효성티앤씨,KOSPI,,332000,2,-8500,-2.5,340000,340000,331000,4937,1646306500,1436790424000,4327682,STK
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,115600,1,700,0.61,115600,117400,114100,20129,2334637600,1431758598000,12385455,KSQ
001120,KR7001120005,LX인터내셔널,KOSPI,,36700,1,650,1.8,36350,38600,36200,527164,19864941500,1422492000000,38760000,STK
078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,91400,1,2200,2.47,91000,94800,91000,201478,18779912000,1414926200200,15480593,KSQ
353200,KR7353200009,대덕전자,KOSPI,,28550,2,-350,-1.21,28600,29000,28450,181482,5208909050,1410853208750,49416925,STK
006280,KR7006280002,녹십자,KOSPI,,119900,2,-1300,-1.07,121500,122300,119500,12352,1489509400,1401215906200,11686538,STK
035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,우량기업부,63600,1,1100,1.76,62500,64000,62200,40079,2537438800,1394694194400,21929154,KSQ
000080,KR7000080002,하이트진로,KOSPI,,19880,2,-820,-3.96,20650,20650,19730,249134,4992944520,1394256186680,70133611,STK
009240,KR7009240003,한샘,KOSPI,,57600,2,-1700,-2.87,59300,59300,56700,25407,1466823500,1355554252800,23533928,STK
457190,KR7457190007,이수스페셜티케미컬,KOSPI,,242000,1,20000,9.01,235000,257000,225500,207642,50766469500,1354903066000,5598773,STK
161890,KR7161890009,한국콜마,KOSPI,,58800,1,2000,3.52,58800,60700,57800,522006,30837798300,1345413384000,22881180,STK
056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,37200,2,-600,-1.59,37950,37950,37150,18547,694174350,1335805872000,35908760,KSQ
004800,KR7004800009,효성,KOSPI,,62900,2,-600,-0.94,62800,63500,62800,4212,265996900,1325367472500,21071025,STK
112040,KR7112040001,위메이드,KOSDAQ,우량기업부,38900,1,800,2.1,38400,39250,38400,148972,5795738700,1314701821800,33796962,KSQ
002710,KR7002710002,TCC스틸,KOSPI,,49300,2,-2200,-4.27,50000,50700,49300,189730,9440617200,1292335262100,26213697,STK
009420,KR7009420001,한올바이오파마,KOSPI,,24400,1,150,0.62,24650,24850,24150,129978,3183837950,1274671567200,52240638,STK
005300,KR7005300009,롯데칠성,KOSPI,,136400,1,400,0.29,136000,136700,134700,4222,573281500,1265639777600,9278884,STK
069620,KR7069620003,대웅제약,KOSPI,,109200,2,-1500,-1.36,109900,111600,108900,13475,1480108600,1265253990000,11586575,STK
336370,KR7336370002,솔루스첨단소재,KOSPI,,36000,1,350,0.98,36450,37400,36000,135975,4969756400,1264003020000,35111195,STK
003230,KR7003230000,삼양식품,KOSPI,,166500,1,30400,22.34,161400,172000,159100,370608,61027748500,1254246997500,7533015,STK
140410,KR7140410002,메지온,KOSDAQ,중견기업부,42100,2,-850,-1.98,43100,43400,41600,98283,4143944000,1242393523500,29510535,KSQ
073240,KR7073240004,금호타이어,KOSPI,,4295,2,-35,-0.81,4280,4350,4280,69520,299276110,1233782932665,287260287,STK
139130,KR7139130009,DGB금융지주,KOSPI,,7280,2,-80,-1.09,7320,7370,7270,75702,553622180,1231381664240,169145833,STK
039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,32450,2,-850,-2.55,33450,33950,32250,149171,4931713150,1227301866450,37821321,KSQ
140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,175700,2,-3400,-1.9,178200,180300,174800,13786,2439533700,1223451634300,6963299,KSQ
006360,KR7006360002,GS건설,KOSPI,,14260,2,-60,-0.42,14380,14400,14190,153427,2193998560,1220392047400,85581490,STK
336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,13820,1,340,2.52,13580,14100,13480,736294,10190403040,1218563505300,88173915,KSQ
375500,KR7375500006,DL이앤씨,KOSPI,,31000,2,-400,-1.27,31700,31700,30900,71585,2232658700,1199502313000,38693623,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,24200,2,-300,-1.22,24100,24700,23900,319066,7735448700,1167630930400,48249212,KSQ
225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,17750,2,-450,-2.47,18100,18150,17480,325028,5748600450,1167351292500,65766270,KSQ
093370,KR7093370005,후성,KOSPI,,12300,2,-40,-0.32,12340,12400,12230,201549,2482061790,1160530879200,94352104,STK
