자치구,설치수량(조)
중랑구,2
강서구,4
관악구,46
서초구,4
광진구,156
용산구,10
마포구,18
동작구,8
강남구,8
송파구,28
서대문구,8
중구,2
종로구,6
영등포구,2
강북구,2
금천구,10
성동구,28
은평구,60
노원구,24
성북구,33
